spot,latitude,longitude,AHC_class,nearest_slope,distance_to_slope_point
54,47.33307,-0.84901,2,moderate,0.0002121320343563491
55,47.333,-0.84891,7,moderate,0.0001486606874706788
56,47.33297,-0.8489,3,moderate,0.00012206555615784565
57,47.33296,-0.84889,1,moderate,0.0001081665382626884
58,47.33288,-0.84884,7,moderate,4.4721359549692964e-05
59,47.33279,-0.84872,4,moderate,0.00013601470508684154
60,47.33276,-0.84867,4,moderate,0.00019104973174672609
61,47.33268,-0.84849,2,moderate,0.00031384709652777884
62,47.33273,-0.84854,3,steep,0.0002906888370743945
63,47.33276,-0.84858,3,moderate,0.0002607680962090735
64,47.33282,-0.84866,3,moderate,0.00016124515496801882
65,47.33291,-0.84878,1,moderate,2.236067977325766e-05
66,47.33294,-0.84883,1,moderate,4.999999999877325e-05
67,47.33299,-0.8489,7,moderate,0.00013453624047082626
68,47.33309,-0.84892,3,moderate,0.0001204159457881955
69,47.33317,-0.84899,3,moderate,0.00017029386365818259
70,47.33324,-0.84904,5,moderate,8.485281374074347e-05
71,47.33332,-0.84912,5,moderate,2.8284271246940655e-05
72,47.33335,-0.84914,4,moderate,6.403124237010117e-05
73,47.33348,-0.84914,3,steep,4.4721359549692964e-05
74,47.3334,-0.84905,4,moderate,4.999999999999449e-05
75,47.33333,-0.84897,4,moderate,0.0001334166406401735
76,47.3333,-0.84895,3,moderate,0.00014999999999998348
77,47.33323,-0.84889,3,steep,9.486832980584843e-05
78,47.33316,-0.84883,1,steep,4.999999999877325e-05
79,47.33306,-0.84875,1,moderate,6.40312423733782e-05
80,47.33301,-0.84868,1,moderate,9.219544457307526e-05
81,47.33294,-0.84864,8,moderate,0.00016492422502438668
82,47.33286,-0.84854,3,moderate,0.0002630589287602058
83,47.33279,-0.84848,8,moderate,0.0002801785145223556
84,47.33274,-0.8484,3,moderate,0.00020880613017764353
85,47.33269,-0.84832,3,moderate,0.00016278820596059038
86,47.33273,-0.84823,3,moderate,7.615773105950245e-05
87,47.33279,-0.84825,3,moderate,5.099019513515146e-05
88,47.33284,-0.84836,3,moderate,0.00016492422502438668
89,47.33291,-0.84843,3,moderate,0.00025495097567943264
90,47.33296,-0.84851,8,moderate,0.00023600847442520876
91,47.33298,-0.84861,8,moderate,0.0001500000000020707
92,47.33305,-0.84868,1,moderate,5.3851648072893584e-05
93,47.3331,-0.84875,1,moderate,4.999999999999449e-05
94,47.33318,-0.84879,1,steep,2.2360679774300325e-05
95,47.33326,-0.84885,1,steep,7.810249676277656e-05
96,47.33333,-0.8489,1,steep,0.0001640121946674756
97,47.33342,-0.84896,1,moderate,0.0001414213562371212
98,47.33347,-0.849,7,steep,0.00010440306508978947
99,47.33355,-0.84926,3,steep,6.403124237010117e-05
100,47.3335,-0.84936,7,steep,4.0000000000040004e-05
101,47.33353,-0.84942,7,steep,3.605551275660045e-05
102,47.3336,-0.84948,7,steep,0.00012806248474568142
103,47.3336,-0.84939,7,steep,8.999999999992347e-05
104,47.33359,-0.84924,7,moderate,4.1231056255261936e-05
105,47.33363,-0.84916,7,moderate,5.000000000139337e-05
106,47.33364,-0.84928,9,steep,4.472135955500559e-05
107,47.33365,-0.84935,7,steep,7.071067811982454e-05
108,47.33372,-0.84927,7,steep,7.280109889261111e-05
109,47.33373,-0.84925,9,steep,5.8309518949691806e-05
110,47.33372,-0.84906,7,steep,0.0001264911064091437
111,47.33377,-0.84921,7,steep,7.071067811955762e-05
112,47.33378,-0.84918,7,steep,8.246211250939294e-05
113,47.33273,-0.8482,8,moderate,7.000000000090267e-05
114,47.33276,-0.8482,3,moderate,3.999999999848569e-05
115,47.33283,-0.84828,8,moderate,8.544003745409889e-05
116,47.3329,-0.84835,7,moderate,0.0001802775637751195
117,47.33297,-0.84846,8,moderate,0.00023769728647509374
118,47.33302,-0.84856,8,moderate,0.00016124515496801882
119,47.33306,-0.8486,8,moderate,0.00010770329614211746
120,47.33312,-0.8487,1,moderate,1.9999999999242846e-05
121,47.33322,-0.84874,1,moderate,4.4721359549692964e-05
122,47.33329,-0.84881,1,steep,9.055385138151376e-05
123,47.33336,-0.84884,3,steep,0.00015231546211641003
124,47.33344,-0.84891,1,moderate,0.00019416487838451544
125,47.33352,-0.84896,3,steep,0.0001414213562371212
126,47.33359,-0.8489,3,moderate,0.00010049875621080677
127,47.33346,-0.84884,1,moderate,0.0001456021977805252
128,47.33341,-0.84878,1,steep,0.00013601470508684154
129,47.33334,-0.84872,3,steep,4.47213595486503e-05
130,47.3333,-0.84871,4,steep,9.99999999995449e-06
131,47.33323,-0.84862,4,moderate,8.544003745399492e-05
132,47.33309,-0.84853,8,moderate,0.00017029386365884105
133,47.33304,-0.84847,4,moderate,0.00017464249196665142
134,47.33299,-0.84837,8,moderate,0.00021213203435162313
135,47.33293,-0.84831,2,moderate,0.0001702938636582543
136,47.33288,-0.84822,2,moderate,8.246211251631315e-05
137,47.33283,-0.84816,3,moderate,5.000000000139337e-05
138,47.33278,-0.84805,3,moderate,5.385164807105873e-05
139,47.33273,-0.84799,5,moderate,7.071067811954192e-05
140,47.33275,-0.84777,5,moderate,0.00023537204591910253
141,47.33284,-0.84789,4,moderate,0.00011704699910662563
142,47.33287,-0.84794,5,moderate,9.219544457358103e-05
143,47.33294,-0.8481,3,moderate,0.0001720465053423152
144,47.33298,-0.84815,3,moderate,0.00018681541692297299
145,47.33303,-0.84817,2,moderate,0.0002319482700967952
146,47.33312,-0.84829,2,moderate,0.00013601470508561717
147,47.33321,-0.84834,2,moderate,6.0827625303563214e-05
148,47.33332,-0.84847,3,moderate,0.00013892443989666284
149,47.33342,-0.8486,3,moderate,8.000000000407681e-05
150,47.33347,-0.84867,2,moderate,7.61577310596045e-05
151,47.33347,-0.84867,2,moderate,7.61577310596045e-05
152,47.33349,-0.84869,3,moderate,9.055385138175898e-05
153,47.33361,-0.84863,3,moderate,9.486832980518136e-05
154,47.3335,-0.84857,3,moderate,2.999999999997449e-05
155,47.33349,-0.84849,4,moderate,0.00011045361017221425
156,47.3334,-0.84842,2,moderate,0.00020099751242194495
157,47.33332,-0.84834,2,moderate,0.0001341640786523062
158,47.33325,-0.84828,3,moderate,0.0001300000000006467
159,47.33321,-0.84825,3,moderate,0.00015033296378403452
160,47.3331,-0.8481,3,moderate,0.00031622776601571476
161,47.33307,-0.84805,2,moderate,0.00027459060435534784
162,47.33297,-0.84797,3,moderate,0.00017262676502047435
163,47.33295,-0.84786,4,moderate,0.0002051828452852975
164,47.33305,-0.84795,2,moderate,0.00025495097568080865
165,47.33311,-0.84803,3,moderate,0.0003114482300468735
166,47.3332,-0.84809,3,moderate,0.00031000000000003247
167,47.33329,-0.84813,2,moderate,0.000284604989415193
168,47.33338,-0.84819,2,moderate,0.000276586333719009
169,47.33345,-0.84824,2,moderate,0.00029681644159414844
170,47.3335,-0.84832,3,moderate,0.0002690724809411739
171,47.33358,-0.84838,3,moderate,0.0001697056274865897
172,47.33364,-0.84839,3,moderate,0.00012529964086037683
173,47.33372,-0.8484,2,moderate,0.0001019803902716964
174,47.33377,-0.84857,1,moderate,7.615773105680553e-05
175,47.33381,-0.84869,7,moderate,1.4142135625943223e-05
176,47.33389,-0.84873,7,moderate,3.1622776602663345e-05
177,47.33398,-0.84874,7,moderate,4.472135955287061e-05
178,47.33401,-0.84874,7,moderate,4.1231056255261936e-05
179,47.33394,-0.84866,7,moderate,5.656854249388131e-05
180,47.33387,-0.84862,7,moderate,3.605551275666204e-05
181,47.33389,-0.84848,2,moderate,9.219544457307526e-05
182,47.33378,-0.84848,2,moderate,2.8284271246940655e-05
